wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
stile,113.0,0.000113,st/aI/l,s/t/a/j/l/,_/s/t/i/l/e/_/_/
braid,2850.0,0.00285,br/eI/d,b/r/e/j/d/,_/b/r/a/i/d/_/_/
nod,37354.0,0.037354,n/A/d,_/n/a/d/_/,_/_/n/o/d/_/_/_/
nog,45.0,4.5e-05,n/A/g,_/n/a/g/_/,_/_/n/o/g/_/_/_/
not,1884855.0,1.884855,n/A/t,_/n/a/t/_/,_/_/n/o/t/_/_/_/
now,717583.0,0.717583,n/AU/,_/n/a/w/_/,_/_/n/o/w/_/_/_/
nor,41688.0,0.041688,n/O/r,_/n/a/r/_/,_/_/n/o/r/_/_/_/
sop,326.0,0.000326,s/A/p,_/s/a/p/_/,_/_/s/o/p/_/_/_/
drop,79691.0,0.079691,dr/A/p,d/r/a/p/_/,_/d/r/o/p/_/_/_/
grouse,1090.0,0.00109,gr/AU/s,g/r/a/w/s/,_/g/r/o/u/s/e/_/
yeah,128461.0,0.128461,/j/(@)/,_/j/E/_/_/,_/_/_/y/e/a/h/_/
year,882996.0,0.882996,/j/i/r,_/j/i/r/_/,_/_/_/y/e/a/r/_/
thirst,1763.0,0.001763,/T/@/rst,_/T/^/r/s/,_/t/h/i/r/s/t/_/
tweeze,72.0,7.2e-05,tw/i/z,t/w/i/z/_/,_/t/w/e/e/z/e/_/
gaffe,483.0,0.000483,g/&/f,_/g/@/f/_/,_/_/g/a/f/f/e/_/
