wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O
scout,13216,29.36888889,0.3122868846585131,sk/AU/t,_/s/k/a/w/t/_/,_/s/c/o/u/t/_/_/
scour,2040,4.533333333,0.1565168104187297,sk/AU/r,_/s/k/a/w/r/_/,_/s/c/o/u/r/_/_/
fall,157722,350.4933333,0.53632016748482,f/O/l,_/_/f/a/l/_/_/,_/_/f/a/l/l/_/_/
stool,4235,9.411111111,0.21434484524019304,st/u/l,_/s/t/u/l/_/_/,_/s/t/o/o/l/_/_/
stoop,2859,6.353333332999999,0.18253264464110608,st/u/p,_/s/t/u/p/_/_/,_/s/t/o/o/p/_/_/
search,55878,124.17333329999998,0.44185959261546986,s/@/r/tS/,_/_/s/^/r/C/_/,_/_/s/e/a/r/c/h/
armed,14483,32.18444444,0.32039844335321793,/A/rmd,_/_/_/a/r/m/d/,_/_/_/a/r/m/e/d/
brisk,2009,4.464444444,0.15537065344988224,br/I/sk,_/b/r/I/s/k/_/,_/b/r/i/s/k/_/_/
town,92030,204.5111111,0.48721940833581706,t/AU/n,_/_/t/a/w/n/_/,_/_/t/o/w/n/_/_/
none,40625,90.27777778,0.41296840325912,n/oU/n,_/_/n/o/n/_/_/,_/_/n/o/n/e/_/_/
sprit,28,0.062222222,0.05,spr/I/t,s/p/r/I/t/_/_/,s/p/r/i/t/_/_/_/
dew,1179,2.62,0.11769694898325198,d/u/,_/_/d/u/_/_/_/,_/_/d/e/w/_/_/_/
den,3889,8.642222222000001,0.2073257012975607,d/E/n,_/_/d/E/n/_/_/,_/_/d/e/n/_/_/_/
blood,64921,144.2688889,0.4554809669293308,bl/@/d,_/b/l/^/d/_/_/,_/b/l/o/o/d/_/_/
bloom,6195,13.76666667,0.2463197929391998,bl/u/m,_/b/l/u/m/_/_/,_/b/l/o/o/m/_/_/
coax,2330,5.177777778,0.1665958814246887,k/oU/ks,_/_/k/o/k/s/_/,_/_/c/o/a/x/_/_/
coat,23253,51.67333333,0.3626684743418477,k/oU/t,_/_/k/o/t/_/_/,_/_/c/o/a/t/_/_/
coal,10272,22.82666667,0.290090677395619,k/oU/l,_/_/k/o/l/_/_/,_/_/c/o/a/l/_/_/
sect,1773,3.94,0.14613977594411484,s/E/kt,_/_/s/E/k/t/_/,_/_/s/e/c/t/_/_/
dough,7818,17.37333333,0.26631248022039844,d/oU/,_/_/d/o/_/_/_/,_/_/d/o/u/g/h/_/
pent,141,0.313333333,0.05,p/E/nt,_/_/p/E/n/t/_/,_/_/p/e/n/t/_/_/
late,284253,631.6733333,0.5900934791120538,l/eI/t,_/_/l/e/j/t/_/,_/_/l/a/t/e/_/_/
lath,95,0.211111111,0.05,l/&/T/,_/_/l/@/T/_/_/,_/_/l/a/t/h/_/_/
