wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
flush,3362.0,7.471111111111111,fl/@/S/,_/f/l/^/S/_/_/,_/f/l/u/s/h/_/_/
khat,67.0,0.14888888888888888,k/A/t,_/_/k/a/t/_/_/,_/k/h/a/t/_/_/_/
worth,44661.0,99.24666666666667,w/@/r/T/,_/_/w/^/r/T/_/,_/_/w/o/r/t/h/_/
bra,2341.0,5.202222222222222,br/A/,_/b/r/a/_/_/_/,_/b/r/a/_/_/_/_/
plot,10425.0,23.166666666666668,pl/A/t,_/p/l/a/t/_/_/,_/p/l/o/t/_/_/_/
plow,1332.0,2.96,pl/AU/,_/p/l/a/w/_/_/,_/p/l/o/w/_/_/_/
plop,451.0,1.0022222222222221,pl/A/p,_/p/l/a/p/_/_/,_/p/l/o/p/_/_/_/
ploy,1099.0,2.442222222222222,pl/Oi/,_/p/l/o/j/_/_/,_/p/l/o/y/_/_/_/
plod,118.0,0.26222222222222225,pl/A/d,_/p/l/a/d/_/_/,_/p/l/o/d/_/_/_/
err,557.0,1.2377777777777779,/@/r,_/_/_/^/r/_/_/,_/_/_/e/r/r/_/_/
ere,427.0,0.9488888888888889,/@/r,_/_/_/^/r/_/_/,_/_/_/e/r/e/_/_/
flunk,147.0,0.32666666666666666,fl/@/N/k,_/f/l/^/G/k/_/,_/f/l/u/n/k/_/_/
nuts,8824.0,19.608888888888888,n/@/ts,_/_/n/^/t/s/_/,_/_/n/u/t/s/_/_/
arch,3373.0,7.495555555555556,/A/r/tS/,_/_/_/a/r/C/_/,_/_/_/a/r/c/h/_/
safe,39143.0,86.98444444444445,s/eI/f,_/_/s/e/j/f/_/,_/_/s/a/f/e/_/_/
sled,1384.0,3.0755555555555554,sl/E/d,_/s/l/E/d/_/_/,_/s/l/e/d/_/_/_/
slew,1279.0,2.8422222222222224,sl/u/,_/s/l/u/_/_/_/,_/s/l/e/w/_/_/_/
hoofed,108.0,0.24,h/U/ft,_/_/h/U/f/t/_/,_/_/h/o/o/f/e/d/
drench,60.0,0.13333333333333333,dr/E/n/tS/,_/d/r/E/n/C/_/,_/d/r/e/n/c/h/_/
sprig,440.0,0.9777777777777777,spr/I/g,s/p/r/I/g/_/_/,s/p/r/i/g/_/_/_/
guild,2370.0,5.266666666666667,g/I/ld,_/_/g/I/l/d/_/,_/_/g/u/i/l/d/_/
guile,226.0,0.5022222222222222,g/aI/l,_/_/g/a/j/l/_/,_/_/g/u/i/l/e/_/
guilt,8737.0,19.415555555555557,g/I/lt,_/_/g/I/l/t/_/,_/_/g/u/i/l/t/_/
cadge,31.0,0.06888888888888889,k/&/dZ/,_/_/k/@/J/_/_/,_/_/c/a/d/g/e/_/
grave,9395.0,20.877777777777776,gr/eI/v,_/g/r/e/j/v/_/,_/g/r/a/v/e/_/_/
graves,4422.0,9.826666666666666,gr/A/v,_/g/r/a/v/_/_/,_/g/r/a/v/e/s/_/
swamp,3283.0,7.295555555555556,sw/A/mp,_/s/w/a/m/p/_/,_/s/w/a/m/p/_/_/
aunt,14066.0,31.25777777777778,/&/nt,_/_/_/@/n/t/_/,_/_/_/a/u/n/t/_/
runt,177.0,0.3933333333333333,r/@/nt,_/_/r/^/n/t/_/,_/_/r/u/n/t/_/_/
